순위,팀,경기,승점,승,무,패,득점,실점,득실차
1,수원 삼성,25,53,16,5,4,39,20,19
2,대구 FC,25,46,13,7,5,47,33,14
3,서울 이랜드,25,45,13,6,6,43,29,14
4,수원 FC,24,45,12,9,3,47,29,18
5,화성 FC,25,43,12,7,6,39,25,14
6,부산 아이파크,25,41,12,5,8,41,33,8
7,경남 FC,24,33,8,9,7,31,30,1
8,김포 FC,24,32,7,11,6,30,30,0
9,충남아산,24,31,8,7,9,31,30,1
10,성남 FC,24,30,7,9,8,26,28,-2
11,용인 FC,24,26,5,11,8,31,35,-4
12,파주 프런티어,24,26,7,5,12,22,28,-6
13,충북 청주,25,26,4,14,7,28,39,-11
14,천안시티,25,23,4,11,10,29,34,-5
15,안산 그리너스,25,22,6,4,15,25,46,-21
16,전남 드래곤즈,24,21,5,6,13,28,40,-12
17,김해 FC,24,13,2,7,15,19,47,-28
