로빈,라운드,홈팀,홈팀 점수,원정팀 점수,원정팀,경기결과,경기상태
1로빈,1라운드,수원 삼성,2,1,서울 이랜드,홈팀 승,종료
1로빈,1라운드,김해 FC,1,4,안산 그리너스,원정팀 승,종료
1로빈,1라운드,대구 FC,1,0,화성 FC,홈팀 승,종료
1로빈,1라운드,충북 청주,0,0,수원 FC,무승부,종료
1로빈,1라운드,경남 FC,1,4,전남 드래곤즈,원정팀 승,종료
1로빈,1라운드,용인 FC,1,1,천안 시티,무승부,종료
1로빈,1라운드,충남 아산,3,2,파주 프런티어,홈팀 승,종료
1로빈,1라운드,부산 아이파크,1,1,성남 FC,무승부,종료
1로빈,2라운드,수원 FC,3,1,용인 FC,홈팀 승,종료
1로빈,2라운드,서울 이랜드,1,0,경남 FC,홈팀 승,종료
1로빈,2라운드,파주 프런티어,0,1,수원 삼성,원정팀 승,종료
1로빈,2라운드,대구 FC,4,2,전남 드래곤즈,홈팀 승,종료
1로빈,2라운드,안산 그리너스,1,3,부산 아이파크,원정팀 승,종료
1로빈,2라운드,성남 FC,2,2,충북 청주,무승부,종료
1로빈,2라운드,천안 시티,0,1,김포 FC,원정팀 승,종료
1로빈,2라운드,화성 FC,2,0,김해 FC,홈팀 승,종료
1로빈,3라운드,서울 이랜드,2,3,부산 아이파크,원정팀 승,종료
1로빈,3라운드,김해 FC,1,2,수원 FC,원정팀 승,종료
1로빈,3라운드,수원 삼성,2,0,전남 드래곤즈,홈팀 승,종료
1로빈,3라운드,용인 FC,1,3,김포 FC,원정팀 승,종료
1로빈,3라운드,경남 FC,2,2,충북 청주,무승부,종료
1로빈,3라운드,충남 아산,2,3,대구 FC,원정팀 승,종료
1로빈,3라운드,안산 그리너스,1,2,파주 프런티어,원정팀 승,종료
1로빈,3라운드,화성 FC,2,2,천안 시티,무승부,종료
1로빈,4라운드,부산 아이파크,3,1,대구 FC,홈팀 승,종료
1로빈,4라운드,성남 FC,2,1,충남 아산,홈팀 승,종료
1로빈,4라운드,파주 프런티어,2,0,전남 드래곤즈,홈팀 승,종료
1로빈,4라운드,김해 FC,0,3,수원 삼성,원정팀 승,종료
1로빈,4라운드,천안 시티,0,0,서울 이랜드,무승부,종료
1로빈,4라운드,충북 청주,1,1,안산 그리너스,무승부,종료
1로빈,4라운드,화성 FC,0,0,용인 FC,무승부,종료
1로빈,4라운드,경남 FC,1,0,김포 FC,홈팀 승,종료
1로빈,5라운드,용인 FC,0,1,수원 삼성,원정팀 승,종료
1로빈,5라운드,충남 아산,1,0,화성 FC,홈팀 승,종료
1로빈,5라운드,성남 FC,0,0,김포 FC,무승부,종료
1로빈,5라운드,천안 시티,1,0,전남 드래곤즈,홈팀 승,종료
1로빈,5라운드,안산 그리너스,1,1,경남 FC,무승부,종료
1로빈,5라운드,충북 청주,1,2,부산 아이파크,원정팀 승,종료
1로빈,5라운드,수원 FC,2,1,서울 이랜드,홈팀 승,종료
1로빈,5라운드,대구 FC,2,0,김해 FC,홈팀 승,종료
1로빈,6라운드,수원 삼성,1,0,천안 시티,홈팀 승,종료
1로빈,6라운드,부산 아이파크,2,1,경남 FC,홈팀 승,종료
1로빈,6라운드,대구 FC,1,1,수원 FC,무승부,종료
1로빈,6라운드,서울 이랜드,3,0,안산 그리너스,홈팀 승,종료
1로빈,6라운드,파주 프런티어,1,1,성남 FC,무승부,종료
1로빈,6라운드,김포 FC,2,0,충북 청주,홈팀 승,종료
1로빈,6라운드,전남 드래곤즈,0,2,충남 아산,원정팀 승,종료
1로빈,6라운드,김해 FC,1,1,용인 FC,무승부,종료
1로빈,7라운드,수원 FC,2,0,파주 프런티어,홈팀 승,종료
1로빈,7라운드,성남 FC,1,2,서울 이랜드,원정팀 승,종료
1로빈,7라운드,경남 FC,0,2,수원 삼성,원정팀 승,종료
1로빈,7라운드,부산 아이파크,1,0,화성 FC,홈팀 승,종료
1로빈,7라운드,충남 아산,1,1,김포 FC,무승부,종료
1로빈,7라운드,안산 그리너스,0,1,대구 FC,원정팀 승,종료
1로빈,7라운드,충북 청주,2,1,천안 시티,홈팀 승,종료
1로빈,7라운드,전남 드래곤즈,1,1,김해 FC,무승부,종료
1로빈,8라운드,서울 이랜드,1,1,충남 아산,무승부,종료
1로빈,8라운드,대구 FC,2,1,경남 FC,홈팀 승,종료
1로빈,8라운드,김포 FC,1,2,부산 아이파크,원정팀 승,종료
1로빈,8라운드,수원 삼성,3,1,충북 청주,홈팀 승,종료
1로빈,8라운드,천안 시티,1,1,안산 그리너스,무승부,종료
1로빈,8라운드,파주 프런티어,0,2,수원 FC,원정팀 승,종료
1로빈,8라운드,용인 FC,2,0,전남 드래곤즈,홈팀 승,종료
1로빈,8라운드,화성 FC,1,0,성남 FC,홈팀 승,종료
1로빈,9라운드,부산 아이파크,3,0,용인 FC,홈팀 승,종료
1로빈,9라운드,수원 FC,1,1,대구 FC,무승부,종료
1로빈,9라운드,성남 FC,0,2,수원 삼성,원정팀 승,종료
1로빈,9라운드,안산 그리너스,1,0,화성 FC,홈팀 승,종료
1로빈,9라운드,충남 아산,2,2,충북 청주,무승부,종료
1로빈,9라운드,경남 FC,1,3,서울 이랜드,원정팀 승,종료
1로빈,9라운드,김해 FC,0,1,김포 FC,원정팀 승,종료
1로빈,9라운드,전남 드래곤즈,1,2,천안 시티,원정팀 승,종료
1로빈,10라운드,수원 삼성,3,0,성남 FC,홈팀 승,종료
1로빈,10라운드,부산 아이파크,2,0,충남 아산,홈팀 승,종료
1로빈,10라운드,대구 FC,1,0,서울 이랜드,홈팀 승,종료
1로빈,10라운드,파주 프런티어,1,2,안산 그리너스,원정팀 승,종료
1로빈,10라운드,김포 FC,1,1,수원 FC,무승부,종료
1로빈,10라운드,천안 시티,2,1,김해 FC,홈팀 승,종료
1로빈,10라운드,용인 FC,0,0,경남 FC,무승부,종료
1로빈,10라운드,화성 FC,3,1,전남 드래곤즈,홈팀 승,종료
1로빈,11라운드,서울 이랜드,2,0,김포 FC,홈팀 승,종료
1로빈,11라운드,충남 아산,1,1,수원 삼성,무승부,종료
1로빈,11라운드,수원 FC,2,2,부산 아이파크,무승부,종료
1로빈,11라운드,경남 FC,1,0,파주 프런티어,홈팀 승,종료
1로빈,11라운드,성남 FC,1,1,용인 FC,무승부,종료
1로빈,11라운드,충북 청주,0,1,화성 FC,원정팀 승,종료
1로빈,11라운드,전남 드래곤즈,2,1,대구 FC,홈팀 승,종료
1로빈,11라운드,안산 그리너스,0,2,천안 시티,원정팀 승,종료
1로빈,12라운드,대구 FC,2,0,충남 아산,홈팀 승,종료
1로빈,12라운드,수원 삼성,1,0,수원 FC,홈팀 승,종료
1로빈,12라운드,부산 아이파크,1,0,서울 이랜드,홈팀 승,종료
1로빈,12라운드,김포 FC,2,1,안산 그리너스,홈팀 승,종료
1로빈,12라운드,파주 프런티어,3,1,충북 청주,홈팀 승,종료
1로빈,12라운드,용인 FC,1,1,화성 FC,무승부,종료
1로빈,12라운드,천안 시티,1,1,성남 FC,무승부,종료
1로빈,12라운드,김해 FC,0,0,경남 FC,무승부,종료
1로빈,13라운드,서울 이랜드,2,1,대구 FC,홈팀 승,종료
1로빈,13라운드,수원 FC,4,1,안산 그리너스,홈팀 승,종료
1로빈,13라운드,성남 FC,0,1,부산 아이파크,원정팀 승,종료
1로빈,13라운드,충남 아산,2,0,천안 시티,홈팀 승,종료
1로빈,13라운드,경남 FC,1,2,수원 삼성,원정팀 승,종료
1로빈,13라운드,충북 청주,1,1,용인 FC,무승부,종료
1로빈,13라운드,화성 FC,2,1,김포 FC,홈팀 승,종료
1로빈,13라운드,전남 드래곤즈,0,1,파주 프런티어,원정팀 승,종료
1로빈,14라운드,부산 아이파크,2,1,전남 드래곤즈,홈팀 승,종료
1로빈,14라운드,수원 삼성,0,0,대구 FC,무승부,종료
1로빈,14라운드,김포 FC,1,0,성남 FC,홈팀 승,종료
1로빈,14라운드,파주 프런티어,1,2,서울 이랜드,원정팀 승,종료
1로빈,14라운드,천안 시티,1,1,수원 FC,무승부,종료
1로빈,14라운드,안산 그리너스,0,2,충남 아산,원정팀 승,종료
1로빈,14라운드,용인 FC,2,1,김해 FC,홈팀 승,종료
1로빈,14라운드,경남 FC,1,1,화성 FC,무승부,종료
1로빈,15라운드,충북 청주,1,5,대구 FC,원정팀 승,종료
1로빈,15라운드,서울 이랜드,1,2,수원 삼성,원정팀 승,종료
1로빈,15라운드,수원 FC,3,0,경남 FC,홈팀 승,종료
